model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
MCI_AD_seed114,0.3,3,79,28,10,18,51,0.35443037974683544,0.8571428571428572,20.138,19.155,0.14285714285714285,14,2
MCI_AD_seed114,0.4,0,79,66,16,50,13,0.8354430379746836,0.858974358974359,16.934375,12.995,0.14102564102564102,78,11
MCI_AD_seed114,0.4,1,79,53,16,37,26,0.6708860759493671,0.8536585365853658,16.934375,12.995,0.14634146341463414,41,6
MCI_AD_seed114,0.4,2,79,38,12,26,41,0.4810126582278481,0.9130434782608696,18.541666666666668,15.294999999999998,0.08695652173913043,23,2
MCI_AD_seed114,0.4,3,79,25,8,17,54,0.31645569620253167,0.8571428571428572,20.708750000000002,20.845,0.14285714285714285,14,2
MCI_AD_seed114,0.5,0,79,58,7,51,21,0.7341772151898734,0.9102564102564102,15.252857142857144,12.880000000000003,0.08974358974358974,78,7
MCI_AD_seed114,0.5,1,79,47,7,40,32,0.5949367088607594,0.9024390243902439,15.252857142857144,12.880000000000003,0.0975609756097561,41,4
MCI_AD_seed114,0.5,2,79,30,5,25,49,0.379746835443038,0.9130434782608696,16.663999999999998,17.22,0.08695652173913043,23,2
MCI_AD_seed114,0.5,3,79,20,3,17,59,0.25316455696202533,0.8571428571428572,13.560000000000002,12.880000000000003,0.14285714285714285,14,2
MCI_AD_seed114,0.6,0,79,55,5,50,24,0.6962025316455697,0.9615384615384616,14.048000000000002,12.05,0.038461538461538464,78,3
MCI_AD_seed114,0.6,1,79,45,5,40,34,0.569620253164557,0.975609756097561,14.048000000000002,12.05,0.024390243902439025,41,1
MCI_AD_seed114,0.6,2,79,26,3,23,53,0.3291139240506329,1.0,15.59666666666667,12.880000000000003,0.0,23,0
MCI_AD_seed114,0.6,3,79,19,2,17,60,0.24050632911392406,1.0,11.730000000000002,11.730000000000002,0.0,14,0
MCI_AD_seed114,0.7,0,79,47,1,46,32,0.5949367088607594,0.9743589743589743,12.05,12.05,0.02564102564102564,78,2
MCI_AD_seed114,0.7,1,79,36,1,35,43,0.45569620253164556,0.975609756097561,12.05,12.05,0.024390243902439025,41,1
MCI_AD_seed114,0.7,2,79,22,0,22,57,0.27848101265822783,1.0,,,0.0,23,0
MCI_AD_seed114,0.7,3,79,16,0,16,63,0.20253164556962025,1.0,,,0.0,14,0
MCI_AD_seed142,0.3,0,79,69,16,53,10,0.8734177215189873,0.717948717948718,17.729374999999997,14.8,0.28205128205128205,78,22
MCI_AD_seed142,0.3,1,79,55,16,39,24,0.6962025316455697,0.7804878048780488,17.729374999999997,14.8,0.21951219512195122,41,9
MCI_AD_seed142,0.3,2,79,40,13,27,39,0.5063291139240507,0.8695652173913043,19.020769230769233,17.22,0.13043478260869565,23,3
MCI_AD_seed142,0.3,3,79,26,9,17,53,0.3291139240506329,0.8571428571428572,19.98111111111111,17.22,0.14285714285714285,14,2
MCI_AD_seed142,0.4,0,79,65,14,51,14,0.8227848101265823,0.8333333333333334,17.58928571428572,14.030000000000001,0.16666666666666666,78,13
MCI_AD_seed142,0.4,1,79,53,14,39,26,0.6708860759493671,0.8292682926829268,17.58928571428572,14.030000000000001,0.17073170731707318,41,7
MCI_AD_seed142,0.4,2,79,37,10,27,42,0.46835443037974683,0.8695652173913043,19.78,18.265,0.13043478260869565,23,3
MCI_AD_seed142,0.4,3,79,25,7,18,54,0.31645569620253167,0.8571428571428572,22.048571428571428,24.47,0.14285714285714285,14,2
MCI_AD_seed142,0.5,0,79,60,9,51,19,0.759493670886076,0.9102564102564102,17.34888888888889,14.650000000000002,0.08974358974358974,78,7
